t_epoch_s,dt_ms,hz,x_mm,y_mm,z_mm,rz_deg,ry_deg,rx_deg
956298156.506350,0.000,0.00,-115.376,558.224,24.747,-90.351,2.368,179.698
956298179.584410,0.000,0.00,-105.376,558.222,24.747,-90.351,2.368,179.698
956298297.886012,0.000,0.00,-135.376,558.216,74.748,-90.351,2.368,179.698
956298316.554751,0.000,0.00,-125.376,558.214,74.748,-90.351,2.368,179.698
956298375.998278,0.000,0.00,-115.377,558.214,74.749,-90.351,2.368,179.698
956298376.069951,71.673,13.95,-115.127,558.545,74.672,-90.316,2.368,179.698
956298376.137559,67.608,14.79,-113.978,560.057,74.307,-90.157,2.368,179.698
956298376.204983,67.424,14.83,-113.866,560.204,74.270,-90.142,2.368,179.698
956298376.274243,69.260,14.44,-113.568,560.414,74.094,-90.103,2.368,179.698
956298376.341421,67.178,14.89,-111.369,561.962,72.783,-89.818,2.368,179.698
956298376.409262,67.841,14.74,-108.394,564.055,71.007,-89.432,2.368,179.698
956298376.476489,67.227,14.87,-107.355,564.785,70.388,-89.297,2.368,179.698
956298376.543690,67.201,14.88,-107.170,564.838,70.228,-89.267,2.368,179.698
956298376.610896,67.206,14.88,-105.294,565.332,68.596,-88.962,2.368,179.698
956298376.678071,67.175,14.89,-101.511,566.327,65.300,-88.347,2.368,179.698
956298376.745217,67.146,14.89,-98.191,567.203,62.409,-87.806,2.368,179.698
956298376.812372,67.155,14.89,-97.044,567.506,61.410,-87.619,2.368,179.698
956298376.879507,67.135,14.90,-97.017,567.511,61.384,-87.614,2.368,179.698
956298376.946686,67.179,14.89,-96.800,567.639,61.229,-87.605,2.368,179.698
956298377.014211,67.525,14.81,-94.892,568.761,59.852,-87.519,2.368,179.698
956298377.081450,67.239,14.87,-90.789,571.171,56.897,-87.335,2.368,179.698
956298377.148678,67.228,14.87,-86.021,573.969,53.462,-87.122,2.368,179.698
956298377.215847,67.169,14.89,-82.993,575.748,51.279,-86.986,2.368,179.698
956298377.282994,67.147,14.89,-82.164,576.234,50.683,-86.949,2.368,179.698
956298377.350170,67.176,14.89,-82.014,576.338,50.588,-86.949,2.368,179.698
956298377.417317,67.147,14.89,-80.342,577.489,49.553,-86.958,2.368,179.698
956298377.484630,67.313,14.86,-76.359,580.236,47.083,-86.978,2.368,179.698
956298377.555699,71.069,14.07,-71.186,583.801,43.879,-87.006,2.368,179.698
956298377.625081,69.382,14.41,-66.968,586.707,41.263,-87.028,2.368,179.698
956298377.692217,67.136,14.90,-65.092,588.001,40.101,-87.038,2.368,179.698
956298377.759447,67.230,14.87,-64.886,588.141,39.973,-87.039,2.368,179.698
956298377.826628,67.181,14.89,-64.672,588.299,39.850,-87.045,2.368,179.698
956298377.893809,67.181,14.89,-62.766,589.693,38.755,-87.104,2.368,179.698
956298377.961032,67.223,14.88,-58.674,592.689,36.401,-87.231,2.368,179.698
956298378.028189,67.157,14.89,-53.787,596.267,33.592,-87.382,2.368,179.698
956298378.095463,67.274,14.86,-49.285,599.564,31.005,-87.521,2.368,179.698
956298378.162513,67.050,14.91,-46.715,601.458,29.514,-87.601,2.368,179.698
956298378.229708,67.195,14.88,-46.192,601.826,29.226,-87.617,2.368,179.698
956298378.296910,67.202,14.88,-46.115,601.884,29.180,-87.620,2.368,179.698
956298378.364185,67.275,14.86,-44.708,602.939,28.393,-87.681,2.368,179.698
956298378.431405,67.220,14.88,-41.047,605.679,26.336,-87.840,2.368,179.698
956298378.498654,67.249,14.87,-36.143,609.351,23.584,-88.053,2.368,179.698
956298378.565915,67.261,14.87,-31.363,612.928,20.900,-88.260,2.368,179.698
956298378.633132,67.217,14.88,-27.984,615.457,19.002,-88.407,2.368,179.698
956298378.700303,67.171,14.89,-26.855,616.300,18.369,-88.456,2.368,179.698
956299205.770851,0.000,0.00,-126.819,566.313,68.349,-88.457,2.368,179.698
956299205.842722,71.871,13.91,-126.604,566.557,68.264,-88.489,2.368,179.698
956299205.910037,67.315,14.86,-125.286,568.056,67.741,-88.684,2.368,179.698
956299205.977331,67.294,14.86,-125.059,568.314,67.649,-88.718,2.368,179.698
956299206.044490,67.159,14.89,-124.879,568.611,67.526,-88.730,2.368,179.698
956299206.111688,67.198,14.88,-123.412,570.889,66.574,-88.819,2.368,179.698
956299206.179009,67.321,14.85,-121.816,573.383,65.530,-88.916,2.368,179.698
956299206.246200,67.191,14.88,-121.532,573.830,65.342,-88.934,2.368,179.698
956299206.313367,67.167,14.89,-121.413,574.037,65.219,-88.945,2.368,179.698
956299206.380629,67.262,14.87,-120.214,576.157,63.964,-89.059,2.368,179.698
956299206.448163,67.534,14.81,-118.206,579.705,61.859,-89.251,2.368,179.698
956299206.515332,67.169,14.89,-117.034,581.775,60.630,-89.363,2.368,179.698
956299206.584423,69.091,14.47,-116.917,581.982,60.507,-89.374,2.368,179.698
956299206.651628,67.205,14.88,-116.815,582.170,60.390,-89.389,2.368,179.698
956299206.718976,67.348,14.85,-115.749,584.160,59.168,-89.551,2.368,179.698
956299206.786217,67.241,14.87,-113.637,588.101,56.739,-89.870,2.368,179.698
956299206.853583,67.366,14.84,-111.838,591.454,54.675,-90.142,2.368,179.698
956299206.920720,67.137,14.89,-111.301,592.450,54.059,-90.223,2.368,179.698
956299206.987905,67.185,14.88,-111.202,592.634,53.954,-90.246,2.368,179.698
956299207.055185,67.280,14.86,-110.139,594.554,52.840,-90.493,2.368,179.698
956299207.122522,67.337,14.85,-107.904,598.658,50.458,-91.021,2.368,179.698
956299207.189710,67.188,14.88,-105.767,602.453,48.259,-91.509,2.368,179.698
956299207.256967,67.257,14.87,-104.922,603.980,47.371,-91.705,2.368,179.698
956299207.324154,67.187,14.88,-104.883,604.051,47.324,-91.715,2.367,179.698
956299207.392673,68.519,14.59,-104.778,604.238,47.224,-91.749,2.368,179.698
956299207.459895,67.222,14.88,-103.684,606.180,46.118,-92.116,2.368,179.698
956299207.527084,67.189,14.88,-101.415,610.209,43.828,-92.877,2.368,179.698
956299207.594265,67.181,14.89,-99.294,613.976,41.686,-93.588,2.368,179.698
956299207.661493,67.228,14.87,-98.441,615.499,40.820,-93.876,2.368,179.698
956299207.728741,67.248,14.87,-98.397,615.569,40.779,-93.889,2.368,179.698
956299207.799655,70.914,14.10,-98.223,615.738,40.598,-93.967,2.368,179.698
956299207.873388,73.733,13.56,-96.320,617.562,38.618,-94.823,2.368,179.698
956299207.945406,72.018,13.89,-93.589,620.175,35.778,-96.050,2.368,179.698
956299208.014678,69.272,14.44,-92.345,621.371,34.482,-96.610,2.368,179.698
956299208.081858,67.180,14.89,-92.291,621.417,34.428,-96.633,2.368,179.698
956299208.149103,67.245,14.87,-92.131,621.470,34.256,-96.717,2.368,179.698
956299208.216997,67.894,14.73,-90.358,622.037,32.353,-97.639,2.368,179.698
956299208.284201,67.204,14.88,-87.534,622.943,29.324,-99.109,2.368,179.698
956299208.351365,67.164,14.89,-86.162,623.385,27.851,-99.824,2.368,179.698
956299208.418722,67.357,14.85,-86.094,623.404,27.779,-99.858,2.368,179.698
956299208.485976,67.254,14.87,-85.918,623.423,27.633,-99.946,2.368,179.698
956299208.553273,67.297,14.86,-83.960,623.625,26.007,-100.919,2.368,179.698
956299208.620576,67.303,14.86,-80.339,623.991,23.005,-102.716,2.368,179.698
956299208.687893,67.317,14.86,-78.034,624.228,21.092,-103.861,2.368,179.698
956299208.755185,67.292,14.86,-77.716,624.259,20.828,-104.019,2.368,179.698
956299208.822468,67.283,14.86,-77.544,624.310,20.705,-104.102,2.368,179.698
956299208.889764,67.296,14.86,-75.524,624.903,19.258,-105.072,2.368,179.698
956299208.956778,67.014,14.92,-71.635,626.043,16.470,-106.940,2.368,179.698
956299209.023798,67.020,14.92,-68.611,626.930,14.300,-108.394,2.368,179.698
956299209.090813,67.015,14.92,-67.867,627.146,13.767,-108.751,2.368,179.698
956299209.157828,67.015,14.92,-67.700,627.229,13.646,-108.830,2.368,179.698
956299209.224877,67.049,14.91,-65.838,628.138,12.290,-109.707,2.368,179.698
956299209.291912,67.035,14.92,-61.984,630.020,9.484,-111.523,2.368,179.698
956299209.358999,67.087,14.91,-58.469,631.738,6.927,-113.179,2.368,179.698
956299209.425999,67.000,14.93,-57.151,632.380,5.968,-113.800,2.368,179.698
956299209.492989,66.990,14.93,-57.104,632.403,5.931,-113.822,2.368,179.698
956299209.560003,67.014,14.92,-56.788,632.410,5.720,-113.764,2.468,179.770
956299209.627014,67.011,14.92,-56.781,632.405,5.716,-113.761,2.468,179.772
956299209.694033,67.019,14.92,-56.781,632.405,5.716,-113.761,2.468,179.772
956299209.761050,67.017,14.92,-56.781,632.405,5.716,-113.761,2.468,179.772
956299209.828050,67.000,14.93,-56.781,632.405,5.716,-113.761,2.468,179.772
956299209.895137,67.087,14.91,-56.781,632.405,5.716,-113.761,2.468,179.772
956299209.962121,66.984,14.93,-56.781,632.405,5.716,-113.761,2.468,179.772
956299210.029233,67.112,14.90,-56.781,632.405,5.716,-113.761,2.468,179.772
956299210.096475,67.242,14.87,-56.781,632.405,5.716,-113.761,2.468,179.772
956300301.408431,0.000,0.00,-126.984,512.496,65.755,-89.998,2.440,179.710
956300301.480154,71.723,13.94,-126.146,513.495,65.331,-90.135,2.440,179.710
956300301.548643,68.489,14.60,-125.203,514.611,64.879,-90.281,2.440,179.710
956300301.615901,67.258,14.87,-122.614,517.444,64.147,-90.518,2.440,179.710
956300301.683069,67.168,14.89,-122.232,517.860,64.038,-90.553,2.440,179.710
956300301.750212,67.143,14.89,-121.504,518.934,63.343,-90.628,2.440,179.710
956300301.817356,67.144,14.89,-119.189,522.350,61.131,-90.868,2.440,179.710
956300301.884505,67.149,14.89,-118.221,523.774,60.204,-90.968,2.440,179.710
956300301.951676,67.171,14.89,-117.629,524.797,59.458,-91.048,2.440,179.710
956300302.018919,67.243,14.87,-115.655,528.197,56.962,-91.314,2.440,179.710
956300302.086099,67.180,14.89,-113.808,531.380,54.625,-91.563,2.440,179.710
956300302.153286,67.187,14.88,-113.651,531.647,54.426,-91.584,2.440,179.710
956300302.220449,67.163,14.89,-113.147,532.591,53.742,-91.682,2.440,179.710
956300302.287759,67.310,14.86,-111.262,536.100,51.186,-92.048,2.440,179.710
956300302.354945,67.186,14.88,-109.401,539.570,48.661,-92.410,2.440,179.710
956300302.422092,67.147,14.89,-108.429,541.379,47.340,-92.599,2.440,179.710
956300302.489411,67.319,14.85,-108.056,542.064,46.894,-92.693,2.440,179.710
956300302.556473,67.062,14.91,-106.135,545.640,44.555,-93.182,2.440,179.710
956300302.623707,67.234,14.87,-104.159,549.209,42.220,-93.672,2.440,179.710
956300302.691061,67.354,14.85,-102.455,552.334,40.177,-94.100,2.440,179.710
956300302.758553,67.492,14.82,-102.389,552.455,40.095,-94.117,2.440,179.710
956300302.825768,67.215,14.88,-101.602,553.891,39.302,-94.345,2.440,179.710
956300302.894885,69.117,14.47,-99.513,557.692,37.196,-94.951,2.440,179.710
956300302.962047,67.162,14.89,-97.485,561.387,35.154,-95.540,2.440,179.710
956300303.031388,69.341,14.42,-95.649,564.733,33.302,-96.073,2.440,179.710
956300303.098671,67.283,14.86,-95.578,564.857,33.230,-96.093,2.440,179.710
956300303.166042,67.371,14.84,-94.987,565.939,32.555,-96.322,2.440,179.710
956300303.233313,67.271,14.87,-93.016,569.527,30.299,-97.085,2.440,179.710
956300303.300471,67.158,14.89,-91.044,573.119,28.042,-97.850,2.440,179.710
956300303.367590,67.119,14.90,-89.837,575.319,26.660,-98.317,2.440,179.710
956300303.434711,67.121,14.90,-88.921,576.319,25.460,-98.789,2.440,179.710
956300303.501960,67.249,14.87,-86.562,578.895,22.361,-100.005,2.440,179.710
956300303.569188,67.228,14.87,-84.625,581.007,19.820,-101.002,2.440,179.710
956300303.636215,67.027,14.92,-83.770,581.504,18.827,-101.484,2.440,179.710
956300303.703368,67.153,14.89,-80.899,583.105,15.518,-103.106,2.440,179.710
956300303.770582,67.214,14.88,-78.644,584.364,12.917,-104.381,2.440,179.710
956300303.837685,67.103,14.90,-77.655,584.717,11.948,-104.951,2.440,179.710
956300303.904855,67.170,14.89,-74.422,585.859,8.792,-106.819,2.440,179.710
956300303.972004,67.149,14.89,-72.061,586.691,6.490,-108.182,2.440,179.710
956300304.040126,68.122,14.68,-72.049,586.683,6.447,-108.187,2.437,179.711
956300304.107148,67.022,14.92,-72.000,586.497,6.414,-108.076,2.396,179.743
956300304.174112,66.964,14.93,-72.000,586.497,6.414,-108.076,2.396,179.743
956300304.241097,66.985,14.93,-71.995,586.498,6.414,-108.076,2.396,179.743
956300304.308064,66.967,14.93,-71.995,586.498,6.414,-108.076,2.396,179.743
956300304.375030,66.966,14.93,-71.995,586.498,6.414,-108.076,2.396,179.743
956300304.441995,66.965,14.93,-71.995,586.498,6.414,-108.076,2.396,179.743
956300304.509140,67.145,14.89,-71.995,586.498,6.414,-108.076,2.396,179.743
956300304.576262,67.122,14.90,-71.995,586.498,6.414,-108.076,2.396,179.743
956301121.311332,0.000,0.00,-126.976,512.483,65.719,-90.000,-0.001,-179.999
956301121.382759,71.427,14.00,-126.976,512.483,65.719,-90.000,-0.001,-179.999
956301121.449903,67.144,14.89,-125.314,514.469,64.875,-90.272,-0.001,-179.999
956301121.517000,67.097,14.90,-122.858,516.924,64.176,-90.493,-0.001,-179.999
956301121.584135,67.135,14.90,-121.410,518.373,63.155,-90.644,-0.000,-179.999
956301121.651139,67.004,14.92,-119.287,520.494,61.104,-90.887,-0.001,-179.999
956301121.718190,67.051,14.91,-116.347,523.435,58.162,-91.294,-0.001,-179.999
956301121.785202,67.012,14.92,-114.459,525.320,56.277,-91.600,-0.000,-179.999
956301121.852210,67.008,14.92,-113.008,526.769,54.829,-91.854,-0.000,-179.999
956301121.921593,69.383,14.41,-110.304,529.470,52.122,-92.464,-0.001,-179.999
956301121.988841,67.248,14.87,-107.531,532.241,49.350,-93.189,-0.000,-179.999
956301122.055848,67.007,14.92,-106.011,533.759,47.832,-93.708,-0.000,-179.999
956301122.122848,67.000,14.93,-104.236,535.536,46.058,-94.343,0.000,-179.999
956301122.189879,67.031,14.92,-101.313,538.458,43.131,-95.535,-0.000,-179.999
956301122.256885,67.006,14.92,-99.082,540.688,40.900,-96.556,0.000,-179.999
956301122.323915,67.030,14.92,-97.801,541.967,39.618,-97.189,-0.000,-179.999
956301122.391100,67.185,14.88,-95.306,544.462,37.125,-98.562,0.000,-179.999
956301122.458150,67.050,14.91,-92.506,547.261,34.321,-100.228,-0.000,-179.999
956301122.525287,67.137,14.89,-91.016,548.748,32.831,-101.168,-0.000,-179.999
956301122.592346,67.059,14.91,-89.223,550.537,31.041,-102.313,-0.000,-179.999
956301122.659382,67.036,14.92,-86.312,553.449,28.128,-104.254,-0.000,-179.999
956301122.726396,67.014,14.92,-85.314,554.447,27.131,-104.920,0.000,-179.999
956301122.793387,66.991,14.93,-85.364,554.489,27.179,-104.825,0.016,-180.000
956301122.860694,67.307,14.86,-85.228,554.367,27.101,-104.769,0.020,-179.956
956301122.927982,67.288,14.86,-85.219,554.362,27.100,-104.769,0.018,-179.955
956301122.995413,67.431,14.83,-85.158,554.374,27.100,-104.776,0.019,-179.956
956301123.062437,67.024,14.92,-85.156,554.376,27.100,-104.776,0.019,-179.956
956301123.129409,66.972,14.93,-85.154,554.376,27.100,-104.776,0.019,-179.956
956301123.196390,66.981,14.93,-85.151,554.377,27.100,-104.776,0.019,-179.956
956301123.263388,66.998,14.93,-85.154,554.376,27.100,-104.776,0.019,-179.956
956301123.330431,67.043,14.92,-85.156,554.376,27.100,-104.776,0.019,-179.956
956301123.397580,67.149,14.89,-85.156,554.376,27.100,-104.776,0.019,-179.956
956301123.464599,67.019,14.92,-85.156,554.376,27.100,-104.776,0.019,-179.956
956301231.346327,0.000,0.00,-126.996,512.530,65.759,-90.000,0.010,180.000
956301231.417122,70.795,14.13,-126.996,512.530,65.759,-90.000,0.010,180.000
956301231.484889,67.767,14.76,-126.118,513.584,65.310,-90.144,0.010,179.999
956301231.552070,67.181,14.89,-125.327,514.534,64.908,-90.273,0.010,179.999
956301231.619329,67.259,14.87,-123.829,516.030,63.925,-90.431,0.010,179.999
956301231.688260,68.931,14.51,-122.331,517.526,62.944,-90.589,0.010,179.999
956301231.755493,67.233,14.87,-121.493,518.361,62.079,-90.700,0.010,179.999
956301231.822610,67.117,14.90,-119.590,520.264,60.202,-90.942,0.010,179.999
956301231.889831,67.221,14.88,-119.176,520.679,59.788,-91.005,0.010,179.999
956301231.956958,67.127,14.90,-117.367,522.485,57.980,-91.348,0.010,179.999
956301232.024104,67.146,14.89,-116.330,523.523,56.941,-91.546,0.010,179.999
956301232.091424,67.320,14.85,-115.203,524.648,55.818,-91.809,0.010,179.999
956301232.158905,67.481,14.82,-113.427,526.423,54.042,-92.224,0.010,179.999
956301232.226077,67.172,14.89,-112.982,526.868,53.596,-92.355,0.010,179.999
956301232.293250,67.173,14.89,-111.078,528.770,51.692,-92.945,0.010,179.999
956301232.360388,67.138,14.89,-110.323,529.527,50.937,-93.179,0.010,179.999
956301232.427652,67.264,14.87,-108.885,530.962,49.498,-93.731,0.010,179.999
956301232.494805,67.153,14.89,-107.349,532.497,47.961,-94.320,0.010,179.999
956301232.561890,67.085,14.91,-106.721,533.122,47.334,-94.612,0.010,179.999
956301232.629126,67.236,14.87,-104.799,535.044,45.413,-95.510,0.010,179.999
956301232.696315,67.189,14.88,-104.278,535.561,44.891,-95.760,0.010,179.999
956301232.764243,67.928,14.72,-102.598,537.242,43.211,-96.740,0.010,179.999
956301232.831830,67.587,14.80,-101.329,538.513,41.940,-97.480,0.009,180.000
956301232.899313,67.483,14.82,-100.433,539.405,41.047,-98.061,0.010,180.000
956301232.966387,67.074,14.91,-98.570,541.271,39.181,-99.273,0.010,180.000
956301233.033576,67.189,14.88,-98.144,541.695,38.756,-99.554,0.010,179.999
956301233.100821,67.245,14.87,-96.310,543.529,36.920,-100.776,0.009,180.000
956301233.168015,67.194,14.88,-95.329,544.509,35.941,-101.430,0.010,179.999
956301233.235331,67.316,14.86,-94.147,545.688,34.756,-102.218,0.009,180.000
956301233.302526,67.195,14.88,-92.418,547.430,33.017,-103.378,0.009,180.000
956301233.369725,67.199,14.88,-91.982,547.852,32.594,-103.661,0.009,179.999
956301233.437060,67.335,14.85,-90.080,549.755,30.691,-104.930,0.009,179.999
956301233.504262,67.202,14.88,-89.326,550.509,29.939,-105.432,0.010,179.999
956301233.571517,67.255,14.87,-87.914,551.918,28.529,-106.372,0.010,179.999
956301233.638793,67.276,14.86,-86.354,553.480,26.966,-107.413,0.010,180.000
956301233.706005,67.212,14.88,-85.751,554.079,26.361,-107.816,0.009,180.000
956301233.773196,67.191,14.88,-83.826,556.004,24.438,-109.098,0.009,180.000
956301233.840466,67.270,14.87,-83.295,556.543,23.899,-109.458,0.010,179.999
956301233.907670,67.204,14.88,-81.656,558.172,22.267,-110.545,0.009,180.000
956301233.974864,67.194,14.88,-80.331,559.498,20.942,-111.429,0.009,180.000
956301234.042019,67.155,14.89,-79.522,560.306,20.131,-111.968,0.009,179.999
956301234.110159,68.140,14.68,-77.612,562.217,18.221,-113.242,0.010,180.000
956301234.177729,67.570,14.80,-77.192,562.634,17.800,-113.522,0.009,180.000
956301234.249080,71.351,14.02,-75.281,564.543,15.891,-114.795,0.009,180.000
956301234.324647,75.567,13.23,-74.319,565.505,14.929,-115.436,0.009,180.000
956301234.392018,67.371,14.84,-72.857,566.965,13.467,-116.410,0.009,180.000
956301234.459381,67.363,14.84,-71.345,568.476,11.954,-117.419,0.009,180.000
956301234.526540,67.159,14.89,-70.694,569.128,11.302,-117.853,0.009,180.000
956301234.593600,67.060,14.91,-68.774,571.049,9.385,-119.133,0.010,180.000
956301234.660839,67.239,14.87,-68.280,571.541,8.890,-119.463,0.010,180.000
956301234.728040,67.201,14.88,-66.629,573.193,7.236,-120.564,0.009,180.000
956301234.795210,67.170,14.89,-65.330,574.491,5.941,-121.429,0.010,180.000
956301234.862438,67.228,14.87,-64.492,575.326,5.103,-121.987,0.009,179.999
956301234.929628,67.190,14.88,-62.588,577.229,3.201,-123.256,0.010,180.000
956301234.996784,67.156,14.89,-62.176,577.642,2.785,-123.532,0.010,180.000
956301235.063837,67.053,14.91,-60.367,579.449,0.977,-124.737,0.010,179.999
956301235.130944,67.107,14.90,-59.326,580.486,-0.061,-125.430,0.010,180.000
956301235.198272,67.328,14.85,-58.201,581.610,-1.186,-126.180,0.010,179.999
956301235.265247,66.975,14.93,-56.438,583.375,-2.947,-127.355,0.010,179.999
956301235.332400,67.153,14.89,-56.327,583.484,-3.059,-127.429,0.010,180.000
956301235.399389,66.989,14.93,-56.208,583.331,-3.180,-127.456,0.021,-179.957
956301235.466567,67.178,14.89,-56.205,583.328,-3.182,-127.456,0.020,-179.957
956301235.533547,66.980,14.93,-56.205,583.328,-3.182,-127.456,0.020,-179.957
956301235.600519,66.972,14.93,-56.205,583.328,-3.182,-127.456,0.020,-179.957
956301235.667558,67.039,14.92,-56.207,583.327,-3.182,-127.456,0.020,-179.957
956301235.734578,67.020,14.92,-56.207,583.327,-3.182,-127.456,0.020,-179.957
956301235.801621,67.043,14.92,-56.207,583.327,-3.182,-127.456,0.020,-179.957
956301235.868712,67.091,14.91,-56.207,583.327,-3.182,-127.456,0.020,-179.957
956301235.935727,67.015,14.92,-56.207,583.327,-3.182,-127.456,0.020,-179.957
956301236.002758,67.031,14.92,-56.207,583.327,-3.182,-127.456,0.020,-179.957
956301369.075433,0.000,0.00,-126.996,512.530,65.759,-90.000,0.010,180.000
956301369.146321,70.888,14.11,-126.996,512.530,65.759,-90.000,0.010,180.000
956301369.213535,67.214,14.88,-126.086,513.622,65.297,-90.149,0.010,179.999
956301369.280739,67.204,14.88,-125.325,514.538,64.906,-90.273,0.010,179.999
956301369.347872,67.133,14.90,-123.767,516.094,63.885,-90.437,0.010,179.999
956301369.415067,67.195,14.88,-122.331,517.527,62.944,-90.589,0.010,179.999
956301369.482233,67.166,14.89,-121.493,518.362,62.105,-90.697,0.010,179.999
956301369.549569,67.336,14.85,-119.590,520.265,60.202,-90.942,0.010,179.999
956301369.616791,67.222,14.88,-119.178,520.678,59.790,-91.005,0.010,179.999
956301369.684002,67.211,14.88,-117.369,522.486,57.980,-91.348,0.010,179.999
956301369.751208,67.206,14.88,-116.332,523.525,56.942,-91.546,0.010,179.999
956301369.818748,67.540,14.81,-115.178,524.678,55.789,-91.815,0.010,179.999
956301369.887045,68.297,14.64,-113.419,526.436,54.031,-92.226,0.010,179.999
956301369.955168,68.123,14.68,-112.961,526.894,53.573,-92.351,0.010,179.999
956301370.022400,67.232,14.87,-111.051,528.801,51.664,-92.887,0.010,179.999
956301370.091769,69.369,14.42,-110.319,529.534,50.930,-93.094,0.010,179.999
956301370.159269,67.500,14.81,-108.830,531.018,49.442,-93.665,0.010,179.999
956301370.226477,67.208,14.88,-107.342,532.508,47.951,-94.238,0.010,179.999
956301370.293681,67.204,14.88,-106.637,533.208,47.251,-94.565,0.010,179.999
956301370.360877,67.196,14.88,-104.726,535.120,45.337,-95.459,0.010,179.999
956301370.428078,67.201,14.88,-104.263,535.580,44.877,-95.683,0.010,179.999
956301370.495358,67.280,14.86,-102.572,537.273,43.185,-96.671,0.010,179.999
956301370.562571,67.213,14.88,-101.331,538.512,41.942,-97.394,0.010,179.999
956301370.630042,67.471,14.82,-100.406,539.434,41.020,-97.995,0.010,179.999
956301370.697219,67.177,14.89,-98.553,541.290,39.167,-99.201,0.010,179.999
956301370.764459,67.240,14.87,-98.146,541.693,38.760,-99.469,0.010,179.999
956301370.831634,67.175,14.89,-96.283,543.555,36.895,-100.710,0.010,179.999
956301370.898899,67.265,14.87,-95.331,544.506,35.943,-101.345,0.010,179.999
956301370.966050,67.151,14.89,-95.331,544.506,35.943,-101.345,0.010,179.999
956301371.033113,67.063,14.91,-95.331,544.506,35.943,-101.345,0.010,179.999
956301371.100409,67.296,14.86,-95.536,545.006,37.398,-101.452,0.136,179.895
956301371.167694,67.285,14.86,-95.531,544.986,37.397,-101.530,0.130,179.896
956301371.234968,67.274,14.86,-95.531,544.986,37.397,-101.530,0.130,179.896
956301371.302625,67.657,14.78,-95.531,544.988,37.398,-101.530,0.130,179.896
956301371.369807,67.182,14.88,-95.531,544.988,37.398,-101.530,0.130,179.896
956301371.436878,67.071,14.91,-95.531,544.988,37.398,-101.530,0.130,179.896
956301371.504053,67.175,14.89,-95.531,544.989,37.398,-101.530,0.130,179.896
956301371.571093,67.040,14.92,-95.531,544.989,37.398,-101.530,0.130,179.896
956301371.638409,67.316,14.86,-95.531,544.990,37.399,-101.530,0.130,179.896
956301371.705521,67.112,14.90,-95.531,544.990,37.399,-101.530,0.130,179.896
956301371.772607,67.086,14.91,-95.531,544.990,37.399,-101.530,0.130,179.896
956301679.804946,0.000,0.00,-126.998,512.530,65.759,-90.000,0.010,180.000
956301679.885688,80.742,12.39,-126.998,512.530,65.759,-90.000,0.010,180.000
956301679.952984,67.296,14.86,-125.773,514.000,65.134,-90.200,0.010,179.999
956301680.020243,67.259,14.87,-125.256,514.602,64.859,-90.280,0.010,179.999
956301680.087447,67.204,14.88,-123.385,516.475,63.630,-90.478,0.010,179.999
956301680.154649,67.202,14.88,-122.333,517.524,62.938,-90.589,0.010,179.999
956301680.221893,67.244,14.87,-121.120,518.765,61.699,-90.749,0.010,179.999
956301680.289027,67.134,14.90,-119.399,520.457,60.005,-90.968,0.010,179.999
956301680.357289,68.262,14.65,-118.887,520.970,59.494,-91.061,0.010,179.999
956301680.430660,73.371,13.63,-116.801,523.053,57.408,-91.458,0.010,179.999
956301680.498265,67.605,14.79,-116.272,523.582,56.880,-91.562,0.010,179.999
956301680.565538,67.273,14.86,-114.600,525.255,55.206,-91.956,0.010,179.999
956301680.632738,67.200,14.88,-113.331,526.522,53.939,-92.256,0.010,179.999
956301680.700244,67.506,14.81,-112.437,527.415,53.044,-92.511,0.010,179.999
956301680.767475,67.231,14.87,-110.570,529.282,51.179,-93.044,0.010,179.999
956301680.834717,67.242,14.87,-110.160,529.690,50.767,-93.179,0.010,179.999
956301680.902071,67.354,14.85,-108.311,531.538,48.917,-93.908,0.010,179.999
956301680.969811,67.740,14.76,-107.332,532.518,47.939,-94.295,0.010,179.999
956301681.037083,67.272,14.87,-106.119,533.728,46.726,-94.875,0.010,179.999
956301681.104282,67.199,14.88,-104.409,535.441,45.016,-95.693,0.010,179.999
956301681.171458,67.176,14.89,-103.937,535.910,44.543,-95.965,0.010,179.999
956301681.238662,67.204,14.88,-102.023,537.823,42.630,-97.099,0.010,179.999
956301681.306073,67.411,14.83,-101.318,538.529,41.924,-97.518,0.010,179.999
956301681.373329,67.256,14.87,-99.832,540.015,40.436,-98.499,0.010,179.999
956301681.440492,67.163,14.89,-98.344,541.501,38.951,-99.480,0.010,179.999
956301681.507696,67.204,14.88,-97.668,542.177,38.274,-99.930,0.010,179.999
956301681.574910,67.214,14.88,-95.726,544.118,36.332,-101.224,0.010,179.999
956301681.642129,67.219,14.88,-95.331,544.513,35.936,-101.488,0.010,179.999
956301681.710039,67.910,14.73,-95.331,544.513,35.936,-101.488,0.010,179.999
956301681.781329,71.290,14.03,-95.331,544.513,35.936,-101.488,0.010,179.999
956301681.853307,71.978,13.89,-95.331,544.513,35.936,-101.488,0.010,179.999
956301681.920789,67.482,14.82,-95.526,545.039,37.550,-101.590,0.153,179.894
956301681.988060,67.271,14.87,-95.535,545.029,37.555,-101.536,0.148,179.893
956301682.055246,67.186,14.88,-95.535,545.029,37.555,-101.536,0.148,179.893
956301682.122501,67.255,14.87,-95.535,545.029,37.555,-101.536,0.148,179.893
956301682.189735,67.234,14.87,-95.535,545.029,37.555,-101.536,0.148,179.893
