method,trial,noise_sigma_mm,status,calibration_pose_count,heldout_pose_count,heldout_translation_error_mm,heldout_rotation_error_deg,camera_pose_translation_error_mm,camera_pose_rotation_error_deg,pairwise_registration_translation_error_mm,pairwise_registration_rotation_error_deg,heldout_reprojection_rmse_px,cam0_camera_pose_translation_error_mm,cam0_camera_pose_rotation_error_deg,cam0_heldout_translation_error_mm,cam0_heldout_rotation_error_deg,cam0_heldout_reprojection_rmse_px,cam1_camera_pose_translation_error_mm,cam1_camera_pose_rotation_error_deg,cam1_heldout_translation_error_mm,cam1_heldout_rotation_error_deg,cam1_heldout_reprojection_rmse_px,cam3_camera_pose_translation_error_mm,cam3_camera_pose_rotation_error_deg,cam3_heldout_translation_error_mm,cam3_heldout_rotation_error_deg,cam3_heldout_reprojection_rmse_px,wrist_camera_pose_translation_error_mm,wrist_camera_pose_rotation_error_deg,wrist_heldout_translation_error_mm,wrist_heldout_rotation_error_deg,wrist_heldout_reprojection_rmse_px
tabb_rp1_joint,0,5.0,ok,10,4,1.4723748036041293,1.0548662105461841,2.2703587232472775,0.22500346756343148,2.657050209592709,0.33333245294117425,12.0773159322073,3.089000059700389,0.21175428199529023,1.943861249821886,1.1279120022525635,9.020255241080914,1.820728810169453,0.16481240497255364,1.3248720784102164,0.7707522036204265,10.739705615696447,2.2785237275579076,0.18931825940379532,1.3969665978691168,1.2461309547576684,8.968158323973228,1.893182295561359,0.3341289238820867,1.2237992883152982,1.0746696815540786,17.520942800188525
shah,0,5.0,ok,10,4,4.0762518176503,1.3175962747750454,7.978768612315951,0.7187824736528035,8.66614619077211,0.8408789889777563,12.274676661228206,8.212123215820355,0.6092107948732761,2.7543048967388235,1.3101561698059754,9.081460806369957,3.059832232946943,0.41601357360824404,1.855965215654176,0.7802162943388162,10.676722672876688,11.936937855418785,0.9467612141101145,3.958319124106713,1.71382647510105,9.148854665083917,8.706181145077721,0.9031443120195793,7.73641803410149,1.4661861598543402,17.978399519956174
tabb_c1_sep,1,0.0,ok,10,4,7.406512012838077e-07,6.319287924436583e-08,9.481727608082912e-07,5.158444703885254e-08,1.115514907092421e-06,8.904660782938958e-08,6.914243661797068e-07,1.1545407780226353e-06,5.7250536212473905e-08,1.0269410772070912e-06,7.522593661693438e-08,9.318157325557534e-07,1.452740806037539e-06,1.0209191234966541e-07,9.971796323434094e-07,1.2530321668079448e-07,4.924442952987028e-07,1.185402706748546e-06,4.6993908416498535e-08,9.384827345204176e-07,5.224094266819106e-08,8.952589978122789e-07,6.752424444257127e-12,1.4311767723118752e-12,1.3610643121480628e-12,1.4210115433690067e-12,3.6796652310194025e-12
tabb_c1_sim,1,0.0,ok,10,4,1.2722733140093233e-06,8.533840127477502e-08,1.6785133045889222e-06,7.109241012944799e-08,2.2444212388119215e-06,1.1327449618177434e-07,8.38282303481501e-07,2.5998701502397804e-06,1.4331143142288044e-07,1.4076263567888562e-06,1.6812610318560224e-07,1.0896059636167334e-06,2.246160008322648e-06,1.0426574750712776e-07,2.029649445987906e-06,1.250271682030188e-07,6.712067398319777e-07,1.867941098691095e-06,3.6775286766455195e-08,1.6518012705326947e-06,4.818317174118387e-08,1.083101673740935e-06,8.196110216560229e-11,1.7174821328633453e-11,1.6182727836897477e-11,1.716196929517179e-11,4.5995314282419287e-11
tabb_c2_sep,1,0.0,ok,10,4,2.710745366569052e-07,1.073078133866061e-07,6.790562151311396e-07,9.975720259683454e-08,1.5307705207109457e-06,1.7784975640992197e-07,8.011313906730626e-07,1.1302714429901309e-06,2.3032035963367675e-07,5.570495531262715e-07,2.3936458780263657e-07,1.1854863311954933e-06,9.013708206477934e-07,9.5500088262384e-08,3.0409565237581135e-07,1.17974652477486e-07,4.997148538836361e-07,6.840853946628409e-07,7.309443564383212e-08,2.2305181703435992e-07,7.177809679789568e-08,9.550671095090177e-07,4.972022237939021e-10,1.1392684744531525e-10,1.011240911777487e-10,1.1391646840607184e-10,2.4531167250510573e-10
tabb_c2_sim,1,0.0,ok,10,4,9.310017681540561e-07,4.6968283961434397e-08,9.685979016765968e-07,3.7971497917341763e-08,1.5657078319161157e-06,6.621763081202342e-08,7.602777960586683e-07,1.7419783746226574e-06,3.824860556069498e-08,1.378169208637326e-06,6.149265408656492e-08,8.416678586578747e-07,1.0601611240570092e-06,4.7084591536998116e-08,9.317937585443826e-07,6.50043000970741e-08,8.809269624816484e-07,1.071203366609402e-06,6.646647745897109e-08,1.4129251704930222e-06,6.12898579343822e-08,9.097532317939173e-07,1.0487414173190979e-09,8.631711270286737e-11,1.1189349414934145e-09,8.632372771635707e-11,1.1262481750022366e-09
tabb_c2_sim_joint,1,0.0,ok,10,4,1.659459710037769e-06,1.206221108159477e-07,8.812621740867753e-07,1.0935560271597443e-07,1.2817232299396175e-06,7.526055379563277e-08,9.431307271985141e-07,1.918284315919132e-06,1.4781906231762708e-07,2.2170797216700267e-06,1.630278412324395e-07,9.57920238183556e-07,7.994412183592749e-07,1.4600675081151822e-07,2.134076439152365e-06,1.6112492536676386e-07,6.507360009693286e-07,8.062744206513755e-07,1.435102806220496e-07,2.285563744387192e-06,1.5824935293687102e-07,1.4889299782830102e-06,1.0487414173190979e-09,8.631711270286737e-11,1.1189349414934145e-09,8.632372771635707e-11,1.1262481750022366e-09
tabb_rp1,1,0.0,ok,10,4,6.373812905787162e-07,5.4045058942106e-08,8.950576256606601e-07,3.822353562285905e-08,1.2608451907880222e-06,6.15401576755879e-08,7.29702934709755e-07,1.044742784664371e-06,5.6487934467619787e-08,8.361272374518465e-07,5.876808803868659e-08,7.755137754762458e-07,1.1238359212551612e-06,4.592849757316373e-08,7.50415233758949e-07,7.489630968232786e-08,7.582781156998164e-07,1.362087127246958e-06,4.4219407087452765e-08,9.442367682548788e-07,7.625752951296079e-08,9.76290364938488e-07,4.956466947615027e-08,6.258303363199937e-09,1.8745922849190588e-08,6.258308534448761e-09,1.775664162236313e-08
tabb_rp1_joint,1,0.0,ok,10,4,3.367602236725637e-07,5.308641960859657e-08,3.560359922717388e-07,2.9695648386904676e-08,5.477692394259476e-07,4.958007312114297e-08,6.892296569627708e-07,5.745233593948632e-07,3.2092737169265016e-08,3.9613678216320533e-07,6.45246328401151e-08,8.616686418723336e-07,5.291150588448003e-07,9.022413420960157e-09,4.557219594355678e-07,4.6731456738505894e-08,4.5677267095033505e-07,2.7094088137114144e-07,7.14091395941936e-08,4.764362302422912e-07,9.48312803213165e-08,9.740229260716377e-07,4.956466947615027e-08,6.258303363199937e-09,1.8745922849190588e-08,6.258308534448761e-09,1.775664162236313e-08
shah,1,0.0,ok,10,4,7.068492705457837e-07,5.3124399764532664e-08,7.526493668135652e-07,2.7497080699096066e-08,4.2303839455527007e-07,1.833158266722832e-08,6.692624867921886e-07,1.2849946273750438e-06,3.666254442852951e-08,9.424658382641468e-07,7.083232053443221e-08,9.20148101630151e-07,1.0163575507246495e-06,3.666279254690527e-08,9.424652620373567e-07,7.083252700837148e-08,3.996080400863766e-07,7.092442667090806e-07,3.666268322889389e-08,9.424655508793324e-07,7.083244078243159e-08,8.861658932013119e-07,1.0224454869641665e-12,3.02592055598925e-13,4.310022987914442e-13,3.107328953911441e-13,7.300885677522861e-13
tabb_c1_sep,1,1.0,ok,10,4,0.676410607432528,0.2785716663909479,1.967126138741032,0.23637862280478575,2.5988614286261416,0.3433198962580948,2.4614452328224106,3.1749790763922405,0.23544911982249325,0.9824460099595456,0.2883679352543168,1.8944457234314067,0.49549018105811393,0.17924855470640938,0.47974750542215794,0.22733146206572835,2.075616631913773,3.1275296176258887,0.3151415227960293,0.8747367133919814,0.30825167868035575,1.88964938569064,1.0705056798878843,0.21567529389421117,0.36871220095642787,0.29033558956339045,3.5730892424050995
tabb_c1_sim,1,1.0,ok,10,4,0.6565437013930356,0.272724623051947,1.8978798510841106,0.22831535857699944,2.513364190826931,0.3323565216297839,2.4560662562363107,3.060270204546735,0.22727323258112442,0.9522625606961753,0.2828289354212923,1.8852829521847438,0.4800042106744235,0.17163912588579427,0.4667725036744631,0.22256219167762473,2.0703053136759872,2.9899423129487577,0.3013504488992638,0.8391918538847364,0.2968851533710271,1.8774236503222805,1.0613026761665256,0.21299862694181526,0.36794788731676775,0.28862221173784397,3.572655924612347
